" ","Area","Mean","Min","Max","Angle","Length"
1,1.126,59.728,40.059,123,142.507,24.905
2,0.926,53.246,37.355,76.785,172.405,20.481
3,1.032,64.795,36.692,137.852,-121.43,22.841
4,0.818,53.466,38.319,110,-124.641,18.096
5,1.254,56.454,31.908,133.935,-150.186,27.766
6,0.9,45.266,31.109,89.15,-148.903,19.915
7,1.091,58.381,34.664,110.826,-87.427,24.115
8,0.739,44.695,33.902,72,-65.556,16.354
9,1.132,48.129,33.564,91.667,-83.797,25.05
10,0.847,44.143,34.053,78.538,-79.177,18.74
11,1.223,60.772,33.42,139.123,-149.331,27.065
12,0.849,47.002,31.834,83.342,-137.337,18.773
13,1.058,48.303,28.778,104.859,-6.633,23.436
14,0.81,37.757,27.427,78,-10.46,17.892
15,1.119,62.268,21.887,126.146,-165.66,24.773
16,0.637,45.576,29.667,72.862,-114.261,14.054
