"site","sid","morph notes","hab notes","sample_in_freeze"
"bak",1,"bright transitiony sanguina, few chlain, mothers","glacier edge, exposed, orangy snow",
"bak","1b",,,
"bak",2,"chlain, some ciliated, sang? cog","alpine pink, linear",
"bak",3,"sang chlain cog","alpine pink",
"bak",4,"cog, chlain","dirty, rocky. large snow crystals",
"bak",5,"chloromonas yellow oval, chlain no shell, few sang, cog","edge of melt pool",
"bak",6,"chlain no shell, cog","big crystals, higher above pool, clumpy",
"bak",7,"sang chlain","dirty, almost melted out, low snow depth. pink",
"bak",8,"sediment",,
"bak",9,"sang, clumps","pink veneer",
"bak",10,"cog, sang","pink veneer",
"bak",11,"tangerine, cog, oval","orange runnel, full light, ",
"bak",12,"cog, chlain no shell","orange spot behind boulder",
"bdw",1,"mucous red cells","slight pink, summit snowfield",
"bdw",2,"gel sang, chlain no wall","pink edge around rock",
"bdw",3,"sang, gel","veneer, below summit",
"bdw",4,"sang, gel","veneer, below summit",
"bdw","4b","no gel sang, highr ratio of chlain",,
"bdw",5,"chlain","suncups speckles",
"bdw",6,"spiky sang","pink, in saddle, very orangy",
"bdw","6b","few more chlains",,
"bdw","6c","more rotifer",,
"bdw",7,"chlain, spiky-sang, friedeggs","bank side stripe, pink",
"bdw","7b","chlain, more lemons, cog",,
"bdw",8,"sang spikys, some chlain. low dens.","orange spot behind boulder",
"bdw",9,"sang. some fungi. few others","rock pink edge",
"bdw",10,"sang smooth","dark pink spots",
"bdw",11,"chlain, friedeggs","speckled suncup",
"bdw",12,"spiky sang, chlain. gel","pink, near edge",
"bdw",13,"spiky sang, some chlain","pink, in single dark suncup",
"bdw",14,"spiky sang, few chlain","pink spots, low snow depth, rock near",
"bdw",15,"“","speckled suncups",
"bdw",16,"spiky sang, v few chlain","deep suncup",
"bdw",17,"sang, some 3 arm, other chloro as usu","side of pool, suncup dot",
"bdw",18,"“","purple, 10cm from pool",
"bdw",19,"mix, sang, lil chloro","slush on side of melt pool",
"bdw",20,"sang, ","pink spots",
"bdw",21,"sang","pink streaks",
"bdw",22,"sang, hi bacteria","dirty low snow, melted out bdw meadows",
"bdw","22x","yellow goop",,
"bdw",23,"gel sang","melted patch",
"bdw",24,"gel sang","dirty snow, patchy",
"bdw",25,"sang","red snow",
"bdw",26,"gel sang","dirty red snow",
"bdw",27,"sang gel dirt","dirty red snow",
"bdw",28,"sang, more cilia chlain","tiny red snowball",
"bdw",29,"sang, more cilia chlain","dirty red snow",
"bdw",30,"dirty sang","dirty red snow",
"bdw",31,"sang, chlain clumps","dirty red snow, small patch",
"bdw","31b","chlain, gel, cog","snowbank edge, not actual depth sample",
"blu",1,"star, thickwall","edge of permasnow, near rock edge","cirque, shade? north facing"
"blu",2,"thickwall","dirty red snow","cirque, shade? north facing"
"blu",3,"sang","dirty, near rocks","cirque, shade? north facing"
"bre",18,"sang, some rotis","brew flat, very red",
"bre","18b",,,
"bre","18x","sang, chlain, friedeggs",,
"bre",19,"sang","brew flat very red",
"bre",20,"green chloro, tangerine, yeast, chlain turtleneck, cog","orange, on flat",
"bre","20b","more bac, more flagella",,
"bre",21,"sang, some chlain, friedegg","brew flat, speckle",
"bre",22,"sang","pink, brew flat",
"bre",23,"pollen",,
"bre",24,"sang, some cog","deep red hole, shallow",
"bre",25,"few sang, dileptus","faint pink, suncup",
"bre",26,"sang, 3arm, ","below old cornice, runnel",
"bre",27,"sang, some cog","2m from edge",
"bre",28,"sang, ","edge, near mini tree",
"bre",29,"sang, friedeggs","slight pink, on slope",
"bre",30,"sang, cog, green","below rock, low depth, ",
"bre",31,"sang","much pink, in flat area",
"bre",32,"sang, ","steeper, more pink",
"bre",33,"sang, some chlain, cog","pink",
"bre",34,"cog, sang","pink",
"bre",35,"sang, some tangerine, cog","flat",
"bre",36,"tangerine, green ciliates, cog","orange green runnel",
"bre",37,"sang","near edge, flat, v pink",
"bre",38,"sang, ","slush pool",
"bre",39,"chlain, round, cog","brew flats, dirty red, near edge",
"bre",40,"chlain round, cog","brew flats, dirty red",
"bre",41,"chlian round","brew flats, dirty red",
"bre",42,"gel sang","red, near edge",
"bre",43,"chlain shell","dirty red, near edge",
"bre",44,"sang, ","dirty red snow",
"bre",45,"dirty",,
"bre",46,"sang, gel","dirty red snow",
"bre",47,"sang","dirty red snow",
"bre",48,"chlain","suncups, dirty red",
"bre",49,"sang","flat",
"bro",1,"gel sang","pink, dirty snow, alpine",
"bro",2,"orange sang","pink alpine",
"bro",3,"sang?, gel, dirt","pink alpine",
"bro",4,"sang","pink alpine",
"bro",5,"chlain","pink alpine",
"bro",6,"chlain","pink alpine",
"bro",7,"chlain","pink alpine",
"bro",8,"sang","pink alpine",
"bro",9,"sang","pink alpine",
"bro",10,"spky sang","pink alpine",
"bro",11,"sang, rotis","pink alpine",
"bro",12,"sang, 3arm, ","pink alpine",
"bro","12b","sang, 3arm, ","pink alpine",
"bro",13,"sang","pink alpine",
"bro",14,"spiky sang","pink alpine",
"bro",15,"spiky sang","flat, pink alpine",
"bro",16,"sang","edge of patch, pink, dirty",
"bro",17,"sang, chlain","pink alpine",
"bro",18,"chlain, friedeggs","pink alpine",
"bro",19,"gel sang","edge of patch, pink, dirty",
"bro",20,"sang","pink alpine",
"dog",1,"sang, clumps","pink alpine",
"dog",2,"sang, clumps","pink alpine",
"dog",3,"sang clumps, some halos","pink alpine",
"dog",4,"sang, chlain, cog, thickwall","pink alpine",
"dog",5,"sang","pink alpine",
"dog",6,"thickwall, chlain","dirty, pink",
"dog",7,"sang, spiky, cogs, thickwalls","bank, almost melted out, above stream",
"dog",8,"sang","pink alpine",
"dog",9,"sang, spiky and non","pink alpine",
"dog",10,"sang, gel","pink alpine",
"dog",11,"sang, big chlain","pink alpine, almost melted out",
"dog",12,"fine spiky sang, few chloro",,
"dog",13,"chlain","pink alpine",
"dog",14,"sang","pink alpine",
"dog",15,"sang, tardi!","suncup specks",
"gar",17,"sang, tangerine, brevi, cog","pink runnel in alpine",
"gar","17x","tangerine, green ciliates, sang, cog",,
"gar","17y","sang, lots of protists, cog",,
"gar",18,"sang, few chlain, green quads, envelope","pink runnel in alpine",
"gar","18x","sang, green flags",,
"gar",19,"tangerine sang cog","orange snow",
"gar","19x","tangerine sang","pink runnel in alpine",
"gar",20,"sang","pink runnel in alpine",
"gar",21,"sang gel","pink runnel in alpine",
"gar",22,"half full sang","orangey tint",
"gar",23,"sparse sang, few chlain","pink runnel in alpine",
"gar",24,"green chloro, tangerine, chlain, cog","green patch, alpine, flat",
"gar","24x","infected sang, some chlain, friedeggs","pink alpine",
"gar",25,"sang, some chloros, some rotis, cog","pink spots in alpine",
"gar",26,"chlain, cog",,
"gar","26x","sang, many half full, green flags, yellow tangerine, cog","oranger snow",
"gar",27,"sang, infected, many chlian, friedeggs","lake edge",
"gar",28,"chlain","lake edge",
"gar",29,"chlain","lake edge",
"gar",30,"chlain, cog, friedeggs, ","pink apot",
"gar",31,"friedeggs, chlain","pink spots",
"gar",32,"sang, chlain, fungi, ghosts",,
"gar",33,"sang, cog, few green","near water",
"gar",34,"chlain, dirt","lakeside",
"gar",35,"sang, cog, green in clumps","trailside pink",
"go",1,"dirty sang",,
"go",2,"dirty sang",,
"lou",1,"sang, short spikes","pink spots on snow whale",
"lou",2,"dirty sang, few chlain","pink spots on snow whale",
"lou",3,"gel sang","pink spots on snow whale",
"nil",1,"chlain",,
"nil",2,"dirty sang",,
"nil",3,"dirty sang, many smaller and oranger","water edge",
"nil",4,"dirty sang, short spikes","pink below cornice",
"nil","4b","same, fewer clumps",,
"nil",5,"clumpy sang","above cornice",
"pan",1,"sang, few friedeggs, mothers, cili","pink, flat, open",
"pan",2,"sang, many nets, friedeggs","deep algae hole, flat",
"pan",3,"chlain","small pink hole flat",
"pan",4,"sang","pink flat",
"pan",5,"chlain","pink, edge of slush pool",
"pan",6,"chlain","edge of pool",
"pan",7,"chlain, cog","edge of snow, by tree",
"pan",8,"chlain, friedegg","above stream",
"pan",9,"chlain, friedeggs","speckles flat",
"pan",10,"sang, some chlain, friedeggs","pink speckles, flat",
"pan",11,"chlain","slush pool",
"pan",12,"sang","slush pool",
"pan",13,"sang","edge of ground open spot",
"pan",14,"sang","dirty flat, in clearing, needles",
"pan",15,"cog, chlain, sang","dirty, needles",
"pan",16,"green chloro","runnel over water",
"pan","16b","green ovals, some orange short spine, ciliates",,
"pan",17,"green, giant chlain, cog","runnel over water",
"pan",18,"sang, giant chlain, cog","over water, needles",
"pan",19,"green, many sang, giant chlain, cog","orange snow",
"pan","19x","green oval, brevi, sang, friedegg",,
"pan",20,"chlain, cog","speckles, flat",
"pan",21,"sang, gel","softer orange, among speckles",
"pan",22,"sang, some chlain, small green, cog","deeper suncup, pink, likely flowing water",
"pan",23,"sang gel","pink suncup",
"pan",24,"sang, some cog","shallow snow, pink suncup",
"pan",25,"sang, ciliates","needles, lichens",
"pan",26,"green","pink, almost melted out patch",
"pan",27,"green brevi, cog","pink shallow",
"pan",28,"sang, few chlain, cog","pink shallow",
"pan",29,"sang gel","very shallow over heather",
"pan",30,"round chlain? cog","pink, near edge, flat, muddy",
"pan",31,"sang gel, fungi",,
"sey",2,"short brevi","in needles, below tree, orange snoe",
"sey",3,"chlain","small red spot in treail",
"sey",4,"short brevi, chlain","bronze below tree",
"sey",5,"cog, chlain","trailside pink",
"sey",6,"chlain","runnel below small hemlock and fir, in chearing",
"sey",7,"chlain","pump peak runnel",
"sil",1,"chlain beans","speckles, not on glacier, appears deep",
"sil",2,"sang, chlain, infected",,
"sil",3,"sang spikys, gel, few chlain","edge f glacier",
"sil",4,"plump yellow ovals","edge of glacier",
"sil",5,"sang gel",,
"sil",6,"sang gel, some chlain","snowfield by glacier",
"sla",1,"sang gel","surface veneer",
"bre",2,"sang, no gel",,
"bre","2b","sang",,"no sample"
"bre",3,"sang",,"no sample"
"bre",6,"sang",,"no sample"
"bre",7,"half full sang, bottlenose ciliate","pink runnel in alpine","no sample"
"bre",8,"sang, some cog, lemon, chlain","edge of snow, needles","no sample"
"bre",9,"sang, stokesia","pink flat","no sample"
"bre",10,"sang, some else","runnel","no sample"
"bre",11,"even mix sang, cog, tangerine, chlain, lemon, brevi","runnel","no sample"
"bre",12,"sang in net, friedeggs, chlain, cog","runnel","no sample"
"bre",13,"green, some sang, friedeggs","sediment hole",
"bre",14,"green","pink runnel","no sample"
"bre","14x","chlain, friedeggs, cog",,"no sample"
"bre",15,"green, lemon, few cog","above stream","no sample"
"bre",16,"tangerine, friedegg","slush pool","no sample"
"bre",17,"chlain, cog","pink needles","no sample"
"gar",1,"friedeggs, cog",,
"gar",2,"green, ciliates","white snow",
"gar",3,"friedeggs",,
"gar",4,"half full sang","pink snow",
"gar",5,"sang",,
"gar",6,"dirty sang",,
"gar",7,"pollen",,
"gar",8,"friedeggs, some ciliates",,
"gar",9,"chlain, friedeggs","clearing, similar to others",
"gar",10,"cog",,
"gar",11,"green, sang, brevi, lance","green, near trees",
"gar","11b","green, many green quad turn red, ciliate",,
"gar",12,"mix green sang cog","water below",
"gar",13,"short brevi, some red cells","yellow snow",
"gar",14,"mix cog tangerine brev green","orange runnel above running water",
"gar","14b","hedge, green oval flags about same size",,
"gar","14c","green, cog, fungi, bac",,
"gar",15,"cog, chlain, tangerine","pink runnel trailside",
"gar",16,"cog, lemon, brevi","orange runnel above running water",
"don",1,"sang, persimmon, dirty, some thickwall, some cogs","gully",
"don",2,"sang, big chlain, halo, ",,
"don",3,"S.aurentia?","dirty snowpatch, ",
"bug",1,"turtles","slush pool",
"bug",2,"turtles","slush pool",
"bug",3,"stars",,
