"date","sample_id","sphere","petal","friedegg","total","frac_egg","frac_petal"
"2022-08-18","WED2210",105,0,5,110,0.045454545454546,0
"2022-08-18","WED2211",7,0,2,9,0.222222222222222,0
"2022-08-18","WED2211",11,0,3,14,0.214285714285714,0
"2022-08-18","WED2212",40,0,2,42,0.047619047619048,0
"2022-08-18","WED2212",35,0,0,35,0,0
"2022-08-18","WED2213",44,0,3,47,0.063829787234043,0
"2022-08-18","WED2213",25,0,9,34,0.264705882352941,0
"2022-08-18","WED2214",31,0,3,34,0.088235294117647,0
"2022-08-18","WED2214",62,0,2,64,0.03125,0
"2022-08-18","WED2215",53,0,2,55,0.036363636363636,0
"2022-08-18","WED2215",35,0,2,37,0.054054054054054,0
"2022-08-18","WED2216",13,0,17,30,0.566666666666667,0
"2022-08-18","WED2216",20,0,21,41,0.51219512195122,0
"2022-08-18","WED2217",24,1,16,41,0.390243902439024,0.024390243902439
"2022-08-18","WED2217",59,0,14,73,0.191780821917808,0
"2022-08-18","WED2218",117,0,0,117,0,0
"2022-08-18","WED2218",95,0,0,95,0,0
"2022-08-18","WED2219",60,0,2,62,0.032258064516129,0
"2022-08-18","WED2219",77,0,0,77,0,0
"2022-08-18","WED2220",30,0,2,32,0.0625,0
"2022-08-18","WED2220",36,0,1,37,0.027027027027027,0
"2022-08-18","WED2221",78,0,1,79,0.012658227848101,0
"2022-08-18","WED2221",58,1,0,59,0,0.016949152542373
"2022-08-18","WED2222",10,1,0,11,0,0.090909090909091
"2022-08-18","WED2222",6,0,1,7,0.142857142857143,0
"2020-08-11","CAT20TR1",21,1,0,22,0,0.045454545454546
"2020-08-11","CAT20TR1",3,0,0,3,0,0
"2020-08-11","CAT20TR2",24,4,0,28,0,0.142857142857143
"2020-08-11","CAT20TR2",22,1,0,23,0,0.043478260869565
"2020-08-11","CAT20TR3",38,2,0,40,0,0.05
"2020-08-11","CAT20TR3",36,3,0,39,0,0.076923076923077
"2020-08-11","CAT20TR4",5,4,0,9,0,0.444444444444444
"2020-08-11","CAT20TR4",9,3,0,12,0,0.25
"2020-08-11","CAT20TR5",44,0,0,44,0,0
"2020-08-11","CAT20TR5",30,0,0,30,0,0
"2020-08-11","CAT20TR6",34,0,0,34,0,0
"2020-08-11","CAT20TR6",42,0,0,42,0,0
"2020-08-11","CAT20TR7",51,0,0,51,0,0
"2020-08-11","CAT20TR7",55,3,0,58,0,0.051724137931035
"2020-08-11","CAT20TR8",21,4,0,25,0,0.16
"2020-08-11","CAT20TR8",29,4,0,33,0,0.121212121212121
"2020-08-11","CAT20TR9",30,0,0,30,0,0
"2020-08-11","CAT20TR9",26,3,0,29,0,0.103448275862069
"2022-07-24","WED2201",153,0,0,153,0,0
"2022-07-24","WED2202",168,0,0,168,0,0
"2022-07-24","WED2203",88,0,0,88,0,0
"2022-07-24","WED2204",64,0,0,64,0,0
"2022-07-24","WED2205",111,0,0,111,0,0
"2022-07-24","WED2206",123,0,24,147,0.163265306122449,0
"2022-07-24","WED2207",76,0,0,76,0,0
"2022-08-28","WED2224",14,3,4,21,0.19047619047619,0.142857142857143
"2022-08-28","WED2224",10,0,1,11,0.090909090909091,0
"2022-08-28","WED2225",16,0,0,16,0,0
"2022-08-28","WED2225",15,0,1,16,0.0625,0
"2022-08-28","WED2226",23,10,0,33,0,0.303030303030303
"2022-08-28","WED2226",30,1,2,33,0.060606060606061,0.03030303030303
"2022-08-28","WED2227",33,5,1,39,0.025641025641026,0.128205128205128
"2022-08-28","WED2227",56,0,1,57,0.017543859649123,0
"2022-08-28","WED2228",75,1,4,80,0.05,0.0125
"2022-08-28","WED2228",73,3,2,78,0.025641025641026,0.038461538461539
"2022-08-28","WED2229",7,2,0,9,0,0.222222222222222
"2022-08-28","WED2229",42,3,1,46,0.021739130434783,0.065217391304348
"2022-08-28","WED2230",170,6,14,190,0.073684210526316,0.031578947368421
"2022-08-28","WED2230",166,10,4,180,0.022222222222222,0.055555555555556
"2022-08-28","WED2231",148,12,4,164,0.024390243902439,0.073170731707317
"2022-08-28","WED2231",96,8,6,110,0.054545454545455,0.072727272727273
"2022-08-28","WED2232",68,1,0,69,0,0.014492753623188
"2022-08-28","WED2232",52,0,0,52,0,0
"2022-08-28","WED2233",59,1,1,61,0.016393442622951,0.016393442622951
"2022-08-28","WED2233",59,2,0,61,0,0.032786885245902
"2022-08-28","WED2234",13,0,0,13,0,0
"2022-08-28","WED2234",22,0,0,22,0,0
"2022-08-28","WED2235",68,2,2,72,0.027777777777778,0.027777777777778
"2022-08-28","WED2235",55,5,0,60,0,0.083333333333333
"2022-08-28","WED2236",20,7,5,32,0.15625,0.21875
"2022-08-28","WED2236",21,6,3,30,0.1,0.2
