mountain,habitat,lat,lon
aas,alpine,47.483711,-120.82392
and,NA,NA,NA
asu,NA,51.219899,-117.507567
bak,NA,48.740067,-121.840062
bdw,NA,50.105798,-123.200967
blu,NA,48.503903,-120.670713
bre,alpine,50.037303,-123.194147
bre,other,50.039402,-123.190939
bre,NA,50.039159,-123.189837
bro,NA,49.857542,-123.032167
bug,NA,50.733371,-116.776486
cat,NA,50.623862,-116.561663
dog,NA,51.351545,-117.215501
don,NA,51.263196,-117.441067
ech,NA,49.71371,-123.2027
fro,clearing,49.38137,-123.05699
fro,forest,49.37507,-123.05727
gar,alpine,49.827525,-122.965959
gar,NA,49.762469,-123.037938
hol,clearing,49.381509,-123.188552
hol,forest,49.384633,-123.182102
hol,NA,49.383007,-123.181324
ice,NA,51.513653,-116.535558
lib,alpine,48.515831,-120.65631
lou,NA,51.484186,-116.06728
nes,alpine,49.034049,-121.533755
nil,NA,51.496403,-116.413604
pan,alpine,49.955058,-122.983411
pan,glacier,49.958163,-123.009288
pan,other,49.973574,-123.003087
pan,NA,49.961357,-123.026828
per,NA,51.255045,-117.465999
sax,alpine,50.392189,-122.584361
sey,alpine,49.386823,-122.940731
sey,clearing,49.380235,-122.942549
sey,forest,49.386009,-122.941661
sey,NA,49.37628,-122.946683
sil,NA,48.553886,-120.586862
sky,alpine,49.645055,-123.087166
sky,clearing,49.644957,-123.087512
sky,forest,49.65132,-123.085316
sky,glacier,49.636013,-123.093595
sla,NA,50.336278,-122.48746
stm,clearing,49.428094,-123.206762
tem,NA,50.797844,-116.581631
ten,NA,50.53689,-122.924219
tes,NA,49.169131,-122.636743
tri,alpine,50.005666,-123.257428
tri,clearing,49.988496,-123.257881
tri,NA,50.007935,-123.240504
wed,glacier,50.151791,-122.795472
wed,NA,50.153116,-122.795218
